"PSTATABB
State abbreviation","PNAME
Plant name","OPRNAME
Plant operator name","LAT
Plant latitude","LON
Plant longitude","PLGENACL
Plant 2000 annual coal net generation (MWh)","PLGENAOL
Plant 2000 annual oil net generation (MWh)","PLGENAGS
Plant 2000 annual gas net generation (MWh)","PLGENANC
Plant 2000 annual nuclear net generation (MWh)","PLGENAHY
Plant 2000 annual hydro net generation (MWh)","PLGENABM
Plant 2000 annual biomass/ wood net generation (MWh)","PLGENAWI
Plant 2000 annual wind net generation (MWh)","PLGENASO
Plant 2000 annual solar net generation (MWh)","PLGENAGT
Plant 2000 annual geothermal net generation (MWh)","PLGENAOF
Plant 2000 annual other fossil (tires, batteries, chemicals, etc.) net generation (MWh)"
AK,SHISHMAREF,Alaska Village Elec Coop Inc,64.8202,163.7929,0.0,1531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,SHUNGNAK,Alaska Village Elec Coop Inc,N/A,N/A,0.0,1346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,SILVIS,Ketchikan City of,55.5426,131.4359,0.0,0.0,0.0,0.0,11290.0,0.0,0.0,0.0,0.0,0.0
AK,SKAGWAY,Alaska Power Co,58.3849,134.1888,0.0,226.0,0.0,0.0,3737.0,0.0,0.0,0.0,0.0,0.0
AK,SNAKE RIVER,Nome Joint Utility Systems,64.8202,163.7929,0.0,28211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,SNETTISHAM,Alaska Electric Light&Power Co,58.3849,134.1888,0.0,0.0,0.0,0.0,130235.0,0.0,0.0,0.0,0.0,0.0
AK,SOLDOTNA,Alaska Electric G & T Coop Inc,60.0656,151.6719,0.0,0.0,59354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,SOLOMON GULCH,Copper Valley Elec Assn Inc,61.4602,144.9163,0.0,0.0,0.0,0.0,50788.0,0.0,0.0,0.0,0.0,0.0
AK,ST MARY'S,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,2717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,ST MICHAEL,Alaska Village Elec Coop Inc,64.8202,163.7929,0.0,1093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,STEBBINS,Alaska Village Elec Coop Inc,64.8202,163.7929,0.0,1325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,SWAN LAKE,Ketchikan City of,55.5426,131.4359,0.0,0.0,0.0,0.0,83792.0,0.0,0.0,0.0,0.0,0.0
AK,TERROR LAKE,Kodiak Electric Assn Inc,57.5771,153.3139,0.0,0.0,0.0,0.0,54045.0,0.0,0.0,0.0,0.0,0.0
